nonprofit_name,url,mission_vision_services,causes,phone,email,website,address,city,state,hours,ein,scraping_status
UNITE HERE Local 54,https://www.givingconnection.org/locations/899,"Mission: UNITE HERE Local 54 has been representing hospitality workers in the hospitality industry for over 100 years. Our members work as housekeepers, bartenders, food servers, cooks, bellmen, doormen, and other service jobs in the casinos and hospitality industry of South Jersey, Eastern Pennsylvania and Delaware. With over 11,000 members, Local 54 is the largest private sector union in the region.",Human & Social Services,(609) 344-5400,RoccoM@UH54.com,https://www.uniteherelocal54.org/,"1014 Atlantic Ave, Atlantic City, NJ 08401, United States",Atlantic City,NJ,Closed; Mon - Fri9:00 AM -  5:00 PM (EDT); SatClosed; SunClosed,,success
Community FoodBank of New Jersey Egg Harbor Township,https://www.givingconnection.org/locations/930,"Mission: The Community FoodBank of New Jersey (CFBNJ), a member of Feeding America®, works to end hunger by distributing food to more than 800 community partners – including food pantries, soup kitchens, and child and senior feeding programs – and by connecting neighbors in need with supportive solutions.","Advocacy, Children & Family Services, Hunger & Food Security, Research & Public Policy",609-383-8843,info@cfbnj.org,https://cfbnj.org/,"6735 Black Horse Pike, Egg Harbor Township, NJ 08234, USA",Egg Harbor Township,NJ,Closed; Mon - Fri8:00 AM -  4:30 PM (EDT); SatClosed; SunClosed,,success
March of Dimes Philadelphia-South Jersey Chapter,https://www.givingconnection.org/locations/939,"Mission: March of Dimes believes in a world where every mom and baby is healthy regardless of wealth, race, gender or geography. The U.S. remains among the most dangerous developed nations for childbirth, especially for families of color. Through research, programs and advocacy, our supporters enable us to be there for parents throughout their pregnancies.","Advocacy, Children & Family Services, Disability Services, Health, Philanthropy",1-888-663-4637,socialmedia@marchofdimes.org,https://www.marchofdimes.org/,"1550 Crystal Dr suite 1300, Arlington, VA 22202, USA",Arlington,VA,No Set Business Hours - Call to Inquire,,success
LA County Federation of Labor,https://www.givingconnection.org/locations/1417,"Mission: We are a federation of over 300 affiliated union and labor organizations representing more than 800,000 members, each with their own unique story and background. We stand united in our mission to build a movement for justice committed to protecting the rights of working people and improving the lives of our families and communities. Vision: Our present struggles are urgent, but we must also plan for the future. We’re looking decades ahead to prepare for an ever-changing world, where issues like the gig economy, automation, and machine learning may threaten shared prosperity. Services: The Los Angeles County Federation of Labor (LA Fed) is a coalition of over 300 affiliated unions and labor organizations, representing more than 800,000 members. Their mission is to build a movement for justice committed to protecting the rights of working people and improving the lives of families and communities. Key services and initiatives include: Organizing: LA Fed empowers workers to organize and take collective action to secure better wages and workplace respect. They assist in forming unions and safeguarding existing ones to enhance the quality of life for workers and their families. Political Advocacy: The organization supports progressive leaders and policies aimed at protecting workers' rights and improving living conditions. They engage in political campaigns and endorse candidates who align with their mission. Community Engagement: LA Fed collaborates with community partners to drive transformational change, supporting initiatives that benefit working people and the communities they inhabit. This includes providing resources and referrals to assist unemployed and underemployed union members and working families. Vision for the Future: Anticipating future challenges such as the gig economy and automation, LA Fed plans proactively to ensure shared prosperity and adapt to the evolving labor landscape. Through these efforts, LA Fed strives to create lasting change and uphold justice for all working individuals in Los Angeles County.",Advocacy,(213) 381-5611,uniontown@thelafed.org,https://thelafed.org/,"2130 James M Wood Blvd, Los Angeles, CA 90006, USA",Los Angeles,CA,Closed; Mon - Fri10:00 AM -  6:00 PM (PDT); SatClosed; SunClosed,,success
Second Harvest Food Bank of Middle Tennessee,https://www.givingconnection.org/locations/16,"Mission: Second Harvest’s mission is to provide food to people facing hunger and work to advance hunger solutions. Vision: We solve for hunger and food insecurity. These factors contribute to poor health, anxiety, lower grades in school and behavioral problems. Services: All our services can be found here - https://www.secondharvestmidtn.org/learn/feeding-programs/. Emergency Food Box Program Through the Emergency Food Box Program (EFB), Second Harvest distributes emergency food items via 16 Nashville satellite locations to individuals and families in crisis. Each Emergency Food Box contains enough to feed a household for about three days. Boxes contain meats, vegetables, fruits, peanut butter, crackers, cereal, bread, baking goods, and more. Community Food Partners program, Middle Tennessee's Table program: Community Food Partners distributes food to 490 nonprofit partner agencies in 46 Tennessee counties, including day care centers, youth development programs, senior centers, foster care facilities, emergency shelters, and community centers. Middle Tennessee’s Table (formerly Nashville’s Table) now rescues excess food from 232 grocery stores like Kroger, Publix, Food Lion, Sam’s and Wal-Mart. This food is then sorted and distributed throughout our 46-county service area. The Mobile Pantry Program also falls under Community Food Partners. This program allows us to hold large-scale food distributions, usually in rural areas, without requiring food storage capacity. Kids Cafe program and BackPack program: Kids Cafe is an evening meal program designed to feed children from low-income families. In FYE18, the program provided 20,374 meals and 79,342 snacks to 1,373 food insecure children. Kids Cafe also provides daily summer breakfasts and snacks. The BackPack program bridges the weekend nutrition gap for children who are unlikely to receive proper nutrition at home when school meals are not available. Project Preserve: Project Preserve has been a program of Second Harvest Food Bank of Middle Tennessee since 1992. The program leverages economies of scale, manufacturing, and logistics expertise to provide a comprehensive co-op and manufacturing program to our partner agencies, food banks and other nonprofit organizations. Our team coordinates purchasing of core grocery and household items—saving food banks both time and money—therefore enabling us to feed more food insecure people each day. Project Preserve distributes more than 40 million pounds of food and grocery products to 130 food banks across the country each year.",Hunger & Food Security,615-329-3491,info@secondharvestmidtn.org,https://www.secondharvestmidtn.org/,"331 Great Circle Road, Nashville, TN 37228, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  6:30 PM (EDT); SatClosed; SunClosed,,success
Nashville Humane Association,https://www.givingconnection.org/locations/19,"Mission: Nashville Humane Association is committed to finding responsible homes, controlling pet overpopulation and promoting the humane treatment of animals. Vision: We aim to end animal suffering and pet overpopulation. Services: Pet Adoptions: NHA places thousands of healthy and temperamentally sound animals into loving homes each year. Safety Net Resource Center: Safety Net at Nashville Humane Association (NHA) exists to preserve the human-animal bond by providing a resource response to both every-day challenges and often overwhelming crises. These resources are provided in-shelter, online, by phone and through partners in our community. Programs such as our Pet Food and Supply Bank, Low-Cost Spay and Neuter Clinic, and Directory of Resources grant access to care to the most vulnerable populations, often those who face the greatest barriers and most harmful stigmas in our community. As we expand, our aim remains clear – to preserve the human-animal bond, improve access to care and reduce barriers therein. Humane Education: NHA personnel travel throughout Davidson County teaching the responsibilities of pet ownership and humane treatment for all animals. We also schedule group tours of our facility, educating people on NHA’s various roles in the community. Please click here to complete an application for an education presentation or group shelter tour. Spay / Neuter Program: Rover, our “Big Yellow Bus,” travels throughout Davidson and surrounding counties to provide spay and neuter services to shelters and rescues that lack the resources in an effort to decrease the number of unwanted animals.",Animals,615-352-1010,media@nashvillehumane.org,http://www.nashvillehumane.org,"213 Oceola Avenue, Nashville, TN, USA",Nashville,TN,Closed; MonClosed; Tue12:00 PM -  7:00 PM  (EDT); Wed12:00 PM -  7:00 PM  (EDT); Thu12:00 PM -  7:00 PM  (EDT); Fri12:00 PM -  7:00 PM  (EDT); Sat12:00 PM -  7:00 PM  (EDT); Sun12:00 PM -  7:00 PM  (EDT),,success
"Rape, Abuse & Incest National Network",https://www.givingconnection.org/locations/23,"Mission: RAINN (Rape, Abuse & Incest National Network) is the nation's largest anti-sexual violence organization. RAINN created and operates the National Sexual Assault Hotline (800.656.HOPE, online.rainn.org y rainn.org/es) in partnership with more than 1,000 local sexual assault service providers across the country and operates the DoD Safe Helpline for the Department of Defense. RAINN also carries out programs to prevent sexual violence, help victims, and ensure that perpetrators are brought to justice. Vision: Sexual violence affects nearly every family in the nation. Every 98 seconds an American is sexually assaulted, and every 8 minutes that victim is a child. Survivors of sexual violence often experience negative psychological and physical effects, including depression, post-traumatic stress disorder, and substance abuse. Survivors who get help from trained support specialists are more likely to receive medical services and report the assault. To give survivors the support they deserve, RAINN created and operates the National Sexual Assault Hotline in English and Spanish and the DoD Safe Helpline. The national conversation around sexual violence means that survivors are contacting RAINN in record numbers. We have increased hotline capacity, yet demand is growing faster than our ability to help. Long wait times cause thousands of survivors each month to leave before connecting with our trained support specialists. Services: Victim Services: The victim services experts at RAINN take a victim-centered, trauma-informed approach to developing programs and services that support survivors of sexual violence and their loved ones. As the country’s leading provider of sexual assault services, we have developed programs to help survivors in all stages of recovery. Public Education: RAINN’s communications experts raise the visibility of sexual violence and advance the public’s understanding of the crime. We work with the media, entertainment industry, and colleges across the country to provide accurate information about sexual violence prevention, prosecution, and recovery. Public Policy: RAINN’s policy team works at the federal and state level to improve the criminal justice system, prevent sexual assault, and ensure justice for survivors. Consulting Services: RAINN’s consulting and subject matter experts work with clients across the public, private, and nonprofit sectors to develop targeted, effective sexual violence education and response programs.","Advocacy, Emergency & Safety, Human & Social Services",800-656-4673,talk@rainn.org,http://www.rainn.org,"1220 L Street Northwest, Downtown, Washington, DC 20005, USA",DC 20005,WA,Closed; Mon - Fri2:00 AM -  1:59 AM (EDT); Sat2:00 AM -  1:59 AM  (EDT); Sun2:00 AM -  1:59 AM  (EDT),,success
Tennessee Disability Coalition,https://www.givingconnection.org/locations/24,"Mission: We bring together organizations and individuals across the state who care about the Disability Community to work in coalition. Our collective mission is to create a society that values, includes and supports people with disabilities. Vision: The central purpose of the Coalition is to advocate for public policies that promote equal opportunity and independent living for children and adults with disabilities. To do this, we collaborate with self-advocates, member organizations and government officials on innovative solutions to public policy concerns. We are a non-partisan organization. Services: The Tennessee Disability Coalition is an alliance of organizations and individuals joined to promote the full and equal participation of people with disabilities in all aspects of life. To support this mission, the Coalition offers the following programs: Public Policy Program advocates for good public policy for people with disabilities and their families. Americans with Disabilities Act (ADA) Network provides information, training and technical assistance on ADA compliance. Benefits to Work helps individuals with disabilities explore employment options. Family Voices of Tennessee provides information, training and assistance to families as they navigate service systems. Brain Links enriches the lives of Tennesseans with traumatic brain injury by training and empowering the professionals serving them. Discretionary Small Grants Program awards funds to projects and non-profit organizations in order to build capacity in the disability community.","Advocacy, Disability Services",615-383-9442,coalition@tndisability.org,http://www.tndisability.org,"955 Woodland St, Nashville, TN, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
Buffalo Valley Inc,https://www.givingconnection.org/locations/25,"Mission: Buffalo Valley’s philosophy of treatment views alcohol and drug addiction as a primary, chronic, and progressive disease and promotes the treatment of addiction and co-occurring disorders in a coherent manner, focusing on both the addiction and the mental health conditions equally while simultaneously preserving and promoting the dignity of the persons served without regard to race, color, creed, gender, economic or social circumstance, sexual orientation, or national origin. Vision: At Buffalo Valley our belief is that chemical dependency is a primary, progressive and chronic disease that can be fatal; therefore, it is imperative that the alcoholic/addict be treated as a person suffering from an illness. Chemical dependency results from a number of causative factors, including those which are physiological, psychological, spiritual, and social in nature and origin. Therefore, our treatment approach addresses the individual needs of each person seeking our help. Assessments identify the presence of conditions contributing to substance use/abuse and how alterations of these conditions may contribute to a positive treatment outcome. Services: Buffalo Valley, Inc. currently provides alcohol and substance abuse treatment, including Levels I-IV residential, out-patient treatment, and detox. We also provide emergency shelter, transitional housing, and affordable permanent housing to those in our service area. Buffalo Valley, Inc. offers case management, job training and job placement services, as well as GED screening, and vocational rehabilitation. Buffalo Valley, Inc. can also provide psychological evaluations, self esteem enhancement training, and life skills counseling. Buffalo Valley, Inc. works with Community Correction Services and Federal Probation to help people recover instead of doing jail time.",Drug & Alcohol Treatment,800-447-2766,info@buffalovalley.org,http://www.buffalovalley.org,"415 S Park St, Hohenwald, TN, USA",Hohenwald,TN,Closed; Mon2:00 AM -  1:59 AM  (EDT); Tue2:00 AM -  1:59 AM  (EDT); Wed2:00 AM -  1:59 AM  (EDT); Thu2:00 AM - 12:59 AM  (EDT); Fri2:00 AM -  1:59 AM  (EDT); Sat2:00 AM -  1:59 AM  (EDT); Sun2:00 AM -  1:59 AM  (EDT),,success
The Next Door,https://www.givingconnection.org/locations/26,"Mission: The Next Door is a non-profit organization dedicated to serving women in crisis, equipping them for lives of wholeness and hope. The Next Door provides services to women who are impacted by addiction, mental illness, trauma and/or incarceration. In recognition of the common need among residents for mental health and addiction counseling, The Next Door provides an integrated model to address the co-occurring disorders. A professional team of counselors, case managers, nurse practitioners – both medical and psychiatric, medical doctors, masters level social work interns, mentors, and job coaches complete the staff to provide comprehensive coverage to residents’ needs. Vision: We provide a continuum of substance abuse and mental health evidence-based services for women in an environment of faith and healing to restore hope and a lifetime of recovery. Services: Addiction Treatment Services Include: • Medically-monitored detox • Inpatient and outpatient programs • Individual therapy • Group therapy • Educational groups • Family therapy (includes Family Enrichment Program events) • Peer and community support • Psychiatric evaluation and medication management • Case management • Relapse prevention and life skills groups • Cognitive Behavioral Therapy • 12-Step recovery work • Trauma recovery groups • Long-term aftercare program",Drug & Alcohol Treatment,615-251-8805,info@thenextdoor.org,http://www.thenextdoor.org,"402 22nd Ave N, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  6:30 PM (EDT); Sat10:00 AM -  6:30 PM  (EDT); Sun10:00 AM -  6:30 PM  (EDT),,success
