"organization_id","name"
1,"Veteran & Military"
2,"Animals"
3,"Clothing & Living Essentials"
4,"Veteran & Military"
5,"Education"
6,"Community & Economic Development"
7,"Sports & Recreation"
8,"Philanthropy"
9,"Housing & Homelessness"
10,"Clothing & Living Essentials"
14,"Media & Broadcasting"
15,"LGBTQ+"
16,"Hunger & Food Security"
17,"Arts & Culture"
18,"Arts & Culture"
19,"Community & Economic Development"
20,"Children & Family Services"
21,"LGBTQ+"
22,"Immigrant & Refugee"
23,"Clothing & Living Essentials"
24,"Health"
25,"Seniors"
26,"LGBTQ+"
27,"Arts & Culture"
28,"Animals"
29,"Hunger & Food Security"
30,"Faith-Based"
31,"Inmate & Formerly Incarcerated"
32,"Housing & Homelessness"
33,"Faith-Based"
34,"Veteran & Military"
35,"Race & Ethnicity"
36,"Research & Public Policy"
37,"Race & Ethnicity"
38,"Clothing & Living Essentials"
39,"Mental Health"
40,"Media & Broadcasting"
41,"Mental Health"
42,"Sports & Recreation"
43,"Transportation"
44,"Transportation"
45,"Transportation"
46,"Veteran & Military"
47,"Social Sciences"
48,"Animals"
49,"Arts & Culture"
