"location_id","day","open_time","close_time","closed"
1,"Sunday",,,"yes"
1,"Monday","09:00:00","16:00","no"
1,"Tuesday","09:00:00","16:00:00","no"
1,"Wednesday","09:00:00","16:00:00","no"
1,"Thursday","09:00:00","16:00:00","no"
1,"Friday","09:00:00","16:00:00","no"
1,"Saturday",,,"yes"
3,"Sunday",,,"yes"
3,"Saturday",,,"yes"
4,"Sunday",,,"yes"
4,"Saturday",,,"yes"
6,"Sunday",,,"yes"
6,"Saturday",,,"yes"
7,"Sunday",,,"yes"
7,"Monday","10:00:00","18:00:00","no"
7,"Tuesday","10:00:00","18:00:00","no"
7,"Wednesday",,,"yes"
8,"Sunday",,,"yes"
8,"Saturday",,,"yes"
8,"Monday","12:00:00","00:00:00","no"
8,"Tuesday","12:00:00","00:00:00","no"
8,"Wednesday","12:00:00","00:00:00","no"
9,"Monday","15:00:00","23:00:00","no"
10,"Monday","17:00:00","01:00:00","no"
10,"Wednesday","17:00:00","01:00:00","no"
9,"Tuesday","15:00:00","23:00:00","no"
6,"Monday","15:00:00","00:00:00","no"
6,"Tuesday","15:00:00","00:00:00","no"
6,"Wednesday","15:00:00","00:00:00","no"
6,"Thursday","15:00:00","00:00:00","no"
6,"Friday","15:00:00","23:00:00","no"
2,"Sunday",,,"yes"
4,"Monday","15:00:00","23:30:00","no"
11,"Sunday",,,"yes"
12,"Sunday",,,"yes"
12,"Monday",,,"yes"
11,"Monday",,,"yes"
11,"Tuesday",,,"yes"
11,"Wednesday",,,"yes"
11,"Thursday",,,"yes"
11,"Friday",,,"yes"
9,"Sunday",,,"yes"
9,"Saturday",,,"yes"
10,"Sunday",,,"yes"
13,"Monday","16:00:00","02:00:00","no"
4,"Tuesday","15:00:00","23:30:00","no"
11,"Saturday",,,"yes"
12,"Friday",,,"yes"
12,"Saturday",,,"yes"
13,"Sunday",,,"yes"
13,"Wednesday",,,"yes"
13,"Thursday",,,"yes"
13,"Saturday",,,"yes"
13,"Tuesday","16:00:00","02:00:00","no"
13,"Friday","16:00:00","02:00:00","no"
5,"Sunday",,,"yes"
5,"Monday","15:30:00","00:00:00","no"
5,"Tuesday","15:30:00","00:00:00","no"
5,"Wednesday","15:30:00","00:00:00","no"
5,"Thursday","15:30:00","00:00:00","no"
4,"Wednesday","15:00:00","23:30:00","no"
4,"Thursday","15:00:00","23:30:00","no"
2,"Monday","16:00:00","00:00:00","no"
2,"Tuesday","16:00:00","00:00:00","no"
4,"Friday","15:00:00","23:30:00","no"
14,"Monday","06:00:00","05:59:00","no"
14,"Tuesday","06:00:00","05:59:00","no"
14,"Wednesday","06:00:00","05:59:00","no"
14,"Thursday","06:00:00","05:59:00","no"
14,"Friday","06:00:00","05:59:00","no"
14,"Sunday","06:00:00","05:59:00","no"
14,"Saturday","06:00:00","05:59:00","no"
2,"Wednesday","16:00:00","00:00:00","no"
2,"Thursday","16:00:00","00:00:00","no"
2,"Friday","16:00:00","00:00:00","no"
10,"Saturday","18:00:00","22:00:00","no"
10,"Tuesday","17:00:00","01:00:00","no"
10,"Thursday","17:00:00","01:00:00","no"
10,"Friday","17:00:00","01:00:00","no"
5,"Friday","15:30:00","00:00:00","no"
5,"Saturday",,,"yes"
12,"Tuesday",,,"yes"
12,"Wednesday",,,"yes"
12,"Thursday",,,"yes"
8,"Thursday","12:00:00","00:00:00","no"
8,"Friday","12:00:00","00:00:00","no"
15,"Sunday",,,"yes"
15,"Monday",,,"yes"
15,"Tuesday",,,"yes"
15,"Wednesday",,,"yes"
15,"Thursday",,,"yes"
15,"Friday",,,"yes"
15,"Saturday",,,"yes"
16,"Monday",,,"yes"
16,"Tuesday",,,"yes"
16,"Wednesday",,,"yes"
16,"Thursday",,,"yes"
16,"Friday",,,"yes"
16,"Saturday",,,"yes"
16,"Sunday",,,"yes"
17,"Sunday",,,"yes"
17,"Monday",,,"yes"
17,"Tuesday",,,"yes"
17,"Wednesday",,,"yes"
17,"Thursday",,,"yes"
17,"Friday",,,"yes"
17,"Saturday",,,"yes"
2,"Saturday",,,"yes"
18,"Sunday",,,"yes"
18,"Saturday",,,"yes"
19,"Sunday",,,"yes"
19,"Saturday",,,"yes"
19,"Tuesday","15:00:00","00:00:00","no"
19,"Wednesday","15:00:00","00:00:00","no"
19,"Thursday","15:00:00","00:00:00","no"
19,"Friday","15:00:00","00:00:00","no"
22,"Sunday",,,"yes"
22,"Saturday",,,"yes"
22,"Thursday","15:00:00","23:00:00","no"
20,"Sunday",,,"yes"
20,"Saturday",,,"yes"
20,"Monday",,,"yes"
20,"Tuesday",,,"yes"
20,"Wednesday",,,"yes"
20,"Thursday",,,"yes"
20,"Friday",,,"yes"
3,"Monday","16:00:00","00:00:00","no"
3,"Tuesday","16:00:00","00:00:00","no"
3,"Wednesday","16:00:00","00:00:00","no"
3,"Thursday","16:00:00","00:00:00","no"
19,"Monday","15:00:00","00:00:00","no"
21,"Tuesday","15:00:00","00:00:00","no"
21,"Wednesday","15:00:00","00:00:00","no"
21,"Thursday","15:00:00","00:00:00","no"
21,"Friday","15:00:00","00:00:00","no"
21,"Sunday",,,"yes"
21,"Saturday",,,"yes"
21,"Monday","15:00:00","00:00:00","no"
22,"Monday","14:30:00","00:00:00","no"
22,"Tuesday","14:30:00","00:00:00","no"
22,"Wednesday","14:30:00","00:00:00","no"
23,"Sunday",,,"yes"
23,"Saturday",,,"yes"
3,"Friday","16:00:00","00:00:00","no"
18,"Monday","15:00:00","23:30:00","no"
18,"Friday","15:00:00","23:30:00","no"
18,"Tuesday","15:00:00","23:30:00","no"
18,"Wednesday","15:00:00","23:30:00","no"
