"id","name","ein_number","irs_ntee_code","mission_statement_en","vision_statement_en","tagline_en","mission_statement_es","vision_statement_es","tagline_es","website","scope_of_work","facebook","instagram","twitter","linkedin","youtube","blog","active"
29,"Room In the Inn","62-0811413","P85: Homeless Centers","Our Guiding Principle: Through the power of spirituality and the practice of love, Room in the Inn provides hospitality with a respect that offers hope in a community of non-violence. These seven core values assist us in carrying out our Mission:  To provide programs that emphasize human development and recovery through education, self-help and work, centered in community and long term support for those who call the streets of Nashville home.",,,,,,"https://www.roomintheinn.org/","Regional","https://www.facebook.com/roomintheinn/",,,,,,"yes"
2,"NAMI Tennessee","58-1679614‍","F01: Alliances & Advocacy","NAMI Tennessee is a grassroots, non-profit, self-help organization made up of people with mental illness, their families and community members. We are dedicated to improving quality of life for people with mental illness and their families through support, education and advocacy.","NAMI TN is dedicated to:

-Enhancing the message of recovery in the state, while offering meaningful support to those who are affected significantly by mental illness
-Encouraging, educating and supporting diverse families; cultivating new partners.
-Direct involvement with Tennessee Legislature, administration and mental health stakeholders to influence public policy and improve quality of life for all who are affected by mental illness.","Enhance the lives of those affected by mental illness.",,,,"https://www.namitn.org/","Regional","https://www.facebook.com/nami.tennessee/",,"https://twitter.com/NAMI_Tennessee",,,,"yes"
6,"Tennessee Higher Education in Prison Initiative (THEI)","45-4531767","I40: Rehabilitation Services for Offenders","Tennessee Higher Education in Prison Initiative (THEI) brings degree-bearing college programs to prisons in Tennessee.

The mission of the Tennessee Higher Education Initiative is to provide access to on-site degree-bearing higher education for individuals in Tennessee prisons; to support our students in leading meaningful lives in and outside prison; to prepare our students for successful re-entry; and to help our students become contributing members of our communities.","THEI is a grassroots, community organization committed to principles of harm reduction, healing, and centering the lived experiences of the people we serve. We fulfill this commitment by recognizing and addressing systemic injustices that have marginalized and stigmatized communities and continue to leave people behind. We engage in reimagining and building towards the world we want to see through systems work, direct service, and through the language and context through which we operate.","Our scholars are the architects of their own futures; we are just here to hand them the tools.",,,,"www.thei.org","Regional","https://www.facebook.com/thei.org/","https://www.instagram.com/THEInitiativeTN/","https://twitter.com/theinitiativetn?lang=en",,,,"yes"
9,"Disability Rights Tennessee","62-1060918","R23: Disabled Persons Rights","Disability Rights Tennessee (DRT) protects the rights of Tennesseans with disabilities. DRT provides legal advocacy services to people with disabilities across the state with numerous issues, including employment discrimination, safety in schools, abuse and neglect, and access to community resources and services.","DRT provides legal advocacy services to people with disabilities across the state with numerous issues, including employment discrimination, safety in schools, abuse and neglect, and access to community resources and services.","Equality. Inclusion. Justice.",,,,"https://www.disabilityrightstn.org/","Regional","https://www.facebook.com/disabilityrightstn","https://www.youtube.com/channel/UC4ZO_Klo_9rcw_nguyPc2dw","https://twitter.com/tnrights",,"https://www.youtube.com/channel/UC4ZO_Klo_9rcw_nguyPc2dw",,"yes"
1,"Centerstone","20-0072992","F60: Counseling","Centerstone helps children, adolescents, adults, seniors, and their families who suffer from a myriad of behavioral health challenges. We are one of the nation’s largest behavioral healthcare organizations, and we provide a full range of mental health services, substance use treatment, intellectual and developmental disability services, housing, educational services and community supports for people of all ages.","We offer a multitude of programs that are designed to address the wide-range of emotional, behavioral, psychological and addiction issues that affect the individuals in our care.","Delivering care that changes people's lives. 

Down-sized web-enabled functionalities",,,,"www.centerstone.org","Regional","https://www.linkedin.com/company/centerstone/","https://www.youtube.com/c/Centerstone","https://twitter.com/Centerstone","https://www.linkedin.com/company/centerstone/","https://www.youtube.com/c/Centerstone",,"yes"
10,"Nashville Rescue Mission","45-2424130","L21: Low-Income & Subsidized Rental Housing","Nashville Rescue Mission is a Christ-centered community committed to helping the hungry, homeless, and hurting by providing programs and services that focus on a person’s entire life—physical, mental, spiritual, emotional, and social.","Nashville Rescue Mission gives life transformational hope to everyone who walks through our doors. It’s why we say, “Hope Lives Here!”","Providing hope for today, hope for tomorrow, and hope for eternity to the hungry, homeless, and hurting.",,,,"www.nashvillerescuemission.org","Regional","https://www.linkedin.com/company/nashville-rescue-mission/","https://www.youtube.com/user/NashRescueMission","https://twitter.com/NashvilleRescue","https://www.linkedin.com/company/nashville-rescue-mission/","https://www.youtube.com/user/NashRescueMission",,"yes"
14,"Second Harvest Food Bank of Middle Tennessee","62-1049447","K40: Nutrition","Second Harvest’s mission is to provide food to people facing hunger and work to advance hunger solutions.","We solve for hunger and food insecurity. These factors contribute to poor health, anxiety, lower grades in school and behavioral problems.","We provide food to people facing hunger and work to advance hunger solutions.",,,,"https://www.secondharvestmidtn.org/","Regional","https://www.facebook.com/2HarvestMidTN","https://www.instagram.com/2harvestmidtn/","https://twitter.com/2harvestmidtn",,,,"yes"
3,"System of Care Across Tennessee (SOCAT)","1H79SM061867-03","P30: Children & Youth Services","System of Care Across Tennessee (SOCAT) is a statewide initiative that will implement numerous strategies and interventions to better serve children and youth with serious emotional disturbances (SED) and their families. 

Our mission is to put in place policies, organizational structures, and funding mechanisms that support the implementation and expansion of a children’s mental health system in Tennessee grounded on SOC values and principles.

We help the child, youth, or young adult who:

Is between the ages of 0-21
Is experiencing emotional or behavioral concerns that affect their daily life (i.e. having trouble in school, with their family, with peers or adults, with law enforcement, or children’s services)
Is having difficultly or is at risk of psychiatric hospitalization, residential placement, or DCS custody
Is willing and interested in participating (if under age 16, includes family)","To ensure Tennessee families have access to community-based services for children, youth, and young adults with mental, emotional, and behavioral health needs that is coordinated across systems, individualized to a family’s unique needs, strengths, and culture, and where the families are the primary decision makers in the care of their children.","Universal context-sensitive frame",,,,"www.systemofcare.com","Regional","www.facebook.com/SOCacrossTN/","https://www.instagram.com/socacrosstn/","https://twitter.com/SOCacrossTN",,,,"yes"
15,"Boys and Girls Clubs of Middle Tennessee","62-0540402","O23: Boys & Girls Clubs","Our Mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.  This mission is accomplished through our after school, summer enrichment, and sports programs at nine separate Clubs in Davidson and Williamson County.  In everything we do, our programs and activities  instill in Club members four things:  a sense of competence--they can do something and do it well; a sense of usefulness--whatever they are doing, it is of value and worthy of their time; a sense of belonging--each child feels they are special and are part of something significant; and a sense of power/influence--the knowledge that their voices will be heard and that they too can influence their environment.","The Boys & Girls Clubs is primarily a prevention program for the many problems that are facing society. Through our programs and services, we seek to prevent juvenile crime, teen pregnancy, high school dropout, drug and alcohol usage, and many other ailments that are a detriment to our young people. Our programs are designed to offer hope and opportunity to those youth who need us most...the hope there is something better for them but also the opportunity to go after the dreams. Through ongoing relationship with caring adult professionals (staff & volunteers) youth enter the Boys & Girls Club knowing they are in a safe place to learn and grow, and will be engaged in life-enhancing programs with character development experiences. For many of our Club members, the Boys & Girls Club is their home.","Great Futures Start Here!",,,,"www.bgcmt.org","Regional","https://www.linkedin.com/company/bgcmidtn/","https://www.youtube.com/channel/UCrXyjq_zO70bUTBhlKv-Zvw","https://twitter.com/BGCMidTN","https://www.linkedin.com/company/bgcmidtn/","https://www.youtube.com/channel/UCrXyjq_zO70bUTBhlKv-Zvw",,"yes"
7,"Williamson County Animal Center","456778","D20: Animal Protection & Welfare","Making Williamson County Tennessee better for animals through adoption, education, enforcement and pet population control.

The Williamson County Animal Center is a public open-intake shelter serving the citizens of Williamson County, Tennessee. The shelter is a county tax-funded agency caring for domestic animals, and enjoys the distinction of being a second place winner in the 2014 ASCPA Rachael Ray Challenge.","Our goal is to increase the save rate, find a good home for every adoptable pet, slow pet population growth, end animal neglect and abuse and be a positive force in the community.","Changing our community, one animal at a time. 
",,,,"www.adoptwcac.org","Regional","https://www.facebook.com/WCanimalcenter/",,"https://twitter.com/wcanimalcenter",,"https://www.youtube.com/user/wctvnet/videos",,"yes"
